City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Georgetown,GY,2020-01-05 22:34:15,6.8,-58.16,80.6,74,4,4.7
1,Khatanga,RU,2020-01-05 22:34:20,71.98,102.47,-8.39,97,100,6.38
2,Punta Arenas,CL,2020-01-05 22:31:00,-53.16,-70.91,53.6,54,40,26.4
3,Coihaique,CL,2020-01-05 22:34:21,-45.58,-72.07,57.2,66,75,4.7
4,Ushuaia,AR,2020-01-05 22:30:58,-54.81,-68.31,51.8,62,40,26.4
5,Lompoc,US,2020-01-05 22:34:21,34.64,-120.46,66.2,59,1,18.34
6,Codrington,AU,2020-01-05 22:34:21,-28.95,153.24,78.8,73,40,6.93
7,Tiksi,RU,2020-01-05 22:34:22,71.64,128.87,-13.4,86,17,13.22
8,Lebu,ET,2020-01-05 22:34:22,8.96,38.73,57.2,71,75,6.93
9,Port Lincoln,AU,2020-01-05 22:34:22,-34.72,135.86,66.04,62,78,9.44
10,Qaanaaq,GL,2020-01-05 22:34:22,77.48,-69.36,-27.0,47,0,1.23
11,Hobart,AU,2020-01-05 22:34:22,-42.88,147.33,69.01,51,40,4.7
12,Goure,NE,2020-01-05 22:34:23,13.98,10.27,64.0,28,23,8.01
13,Kruisfontein,ZA,2020-01-05 22:34:23,-34.0,24.73,63.18,87,100,3.76
14,Voinesti,RO,2020-01-05 22:34:23,47.07,27.42,34.0,100,90,12.75
15,Sao Filipe,CV,2020-01-05 22:34:23,14.9,-24.5,71.26,62,66,16.53
16,Butaritari,KI,2020-01-05 22:34:24,3.07,172.79,85.48,75,100,15.79
17,Hermanus,ZA,2020-01-05 22:34:24,-34.42,19.24,64.0,90,100,8.34
18,Yerbogachen,RU,2020-01-05 22:34:24,61.28,108.01,8.89,93,100,11.25
19,Cherskiy,RU,2020-01-05 22:34:24,68.75,161.3,-8.36,62,3,5.5
20,Rikitea,PF,2020-01-05 22:34:24,-23.12,-134.97,76.69,77,80,14.09
21,Yuzhno-Kurilsk,RU,2020-01-05 22:34:25,44.03,145.86,25.12,81,100,31.88
22,Fairbanks,US,2020-01-05 22:31:00,64.84,-147.72,-17.0,73,87,2.48
23,Bredasdorp,ZA,2020-01-05 22:34:25,-34.53,20.04,66.2,68,100,8.05
24,Carnarvon,ZA,2020-01-05 22:34:25,-30.97,22.13,60.42,73,12,7.76
25,Letlhakane,BW,2020-01-05 22:34:25,-21.42,25.59,79.77,53,100,10.83
26,Magdagachi,RU,2020-01-05 22:34:26,53.45,125.8,-18.47,98,59,2.68
27,Pevek,RU,2020-01-05 22:34:26,69.7,170.27,-6.12,83,0,5.61
28,Jamestown,AU,2020-01-05 22:34:26,-33.21,138.6,64.87,71,67,8.46
29,Tahoua,NE,2020-01-05 22:34:26,14.89,5.26,66.2,17,2,11.41
30,Kapaa,US,2020-01-05 22:34:27,22.08,-159.32,80.6,69,40,14.99
31,Busselton,AU,2020-01-05 22:34:27,-33.64,115.35,66.99,39,0,8.61
32,Hithadhoo,MV,2020-01-05 22:30:29,-0.6,73.08,82.89,74,100,9.6
33,Mataura,NZ,2020-01-05 22:34:27,-46.19,168.86,51.01,78,93,24.0
34,San Quintin,PH,2020-01-05 22:34:27,17.54,120.52,71.87,73,46,7.2
35,Castro,CL,2020-01-05 22:34:28,-42.48,-73.76,57.2,62,20,10.29
36,Beringovskiy,RU,2020-01-05 22:34:28,63.05,179.32,-7.24,80,53,16.37
37,Beira,ES,2020-01-05 22:34:28,43.2,-8.36,42.01,100,0,4.7
38,Bambanglipuro,ID,2020-01-05 22:34:28,-7.95,110.28,78.55,80,22,2.3
39,Coquimbo,CL,2020-01-05 22:34:28,-29.95,-71.34,66.2,72,75,5.82
40,Libreville,GA,2020-01-05 22:34:29,0.39,9.45,84.2,79,40,11.41
41,Vila Velha,BR,2020-01-05 22:34:29,-3.71,-38.6,86.0,74,20,5.82
42,Tuatapere,NZ,2020-01-05 22:34:29,-46.13,167.69,51.01,78,95,24.0
43,Amapa,HN,2020-01-05 22:34:29,15.09,-87.97,68.0,94,90,5.82
44,Belmonte,PT,2020-01-05 22:33:56,40.36,-7.35,39.99,23,0,5.99
45,Yellowknife,CA,2020-01-05 22:34:30,62.45,-114.38,-14.01,75,20,5.82
46,Albany,US,2020-01-05 22:34:30,42.65,-73.75,32.0,78,90,11.41
47,Soyo,AO,2020-01-05 22:34:31,-6.13,12.37,79.03,80,91,2.3
48,Solwezi,ZM,2020-01-05 22:34:31,-12.18,26.4,63.12,89,100,1.63
49,Saskylakh,RU,2020-01-05 22:34:32,71.97,114.09,-18.71,94,27,15.28
50,Dickinson,US,2020-01-05 22:34:32,46.88,-102.79,35.6,55,1,12.75
51,Salalah,OM,2020-01-05 22:34:32,17.01,54.1,75.2,78,75,3.36
52,Homer,US,2020-01-05 22:34:33,59.64,-151.54,17.6,72,75,6.93
53,Cape Town,ZA,2020-01-05 22:32:03,-33.93,18.42,66.99,77,75,8.05
54,Nikolskoye,RU,2020-01-05 22:34:33,59.7,30.79,24.01,79,90,4.47
55,Darmanesti,RO,2020-01-05 22:34:33,46.37,26.48,32.0,90,75,16.11
56,Mareeba,AU,2020-01-05 22:34:34,-16.99,145.42,82.99,83,75,6.93
57,Avarua,CK,2020-01-05 22:34:34,-21.21,-159.78,80.6,94,100,8.05
58,Faanui,PF,2020-01-05 22:32:48,-16.48,-151.75,81.9,76,50,13.94
59,Kyaikkami,MM,2020-01-05 22:34:34,16.08,97.57,78.28,69,19,6.04
60,Bunia,CD,2020-01-05 22:34:34,1.56,30.25,71.49,72,94,4.54
61,Genhe,CN,2020-01-05 22:34:35,50.78,121.52,8.6,95,100,2.53
62,Juigalpa,NI,2020-01-05 22:34:36,12.1,-85.37,80.6,78,75,9.17
63,Barrow,AR,2020-01-05 22:33:06,-38.31,-60.23,63.0,81,100,18.52
64,Balsas,BR,2020-01-05 22:34:36,-7.53,-46.04,76.12,78,85,2.86
65,Chicaman,GT,2020-01-05 22:34:36,15.4,-90.73,56.05,95,94,1.66
66,Jaciara,BR,2020-01-05 22:34:37,-15.95,-54.98,75.27,85,46,4.43
67,Meulaboh,ID,2020-01-05 22:34:37,4.14,96.13,79.86,82,0,7.47
68,Bonavista,CA,2020-01-05 22:34:37,48.65,-53.11,29.21,96,100,30.38
69,Barmer,IN,2020-01-05 22:34:38,25.74,71.4,60.94,43,33,0.63
70,Chuy,UY,2020-01-05 22:34:38,-33.69,-53.46,69.67,78,0,13.24
71,Lagoa,PT,2020-01-05 22:33:10,37.14,-8.45,54.0,76,0,8.05
72,Saint-Philippe,CA,2020-01-05 22:34:38,45.36,-73.48,23.0,57,20,12.75
73,Bluff,AU,2020-01-05 22:34:39,-23.58,149.07,85.55,45,5,14.34
74,Burla,RU,2020-01-05 22:34:39,53.34,78.33,11.53,95,30,8.08
75,Chokurdakh,RU,2020-01-05 22:34:39,70.62,147.9,-22.97,100,77,1.52
76,Gasa,BT,2020-01-05 22:34:39,27.91,89.73,-3.37,31,0,7.83
77,Port Elizabeth,US,2020-01-05 22:33:22,39.31,-74.98,39.99,47,90,13.87
78,Darnah,LY,2020-01-05 22:33:32,32.77,22.64,56.62,71,69,25.32
79,Amberley,NZ,2020-01-05 22:34:40,-43.15,172.73,70.0,38,8,17.22
80,Seoul,KR,2020-01-05 22:34:40,37.57,126.98,35.6,55,90,1.86
81,Narsaq,GL,2020-01-05 22:34:41,60.91,-46.05,19.4,52,40,12.75
82,Bonthe,SL,2020-01-05 22:34:41,7.53,-12.5,76.44,72,21,6.29
83,East London,ZA,2020-01-05 22:34:41,-33.02,27.91,72.45,78,95,5.01
84,Tuktoyaktuk,CA,2020-01-05 22:32:53,69.44,-133.03,-20.2,68,75,9.17
85,Vallenar,CL,2020-01-05 22:34:42,-28.58,-70.76,61.43,76,0,5.57
86,Talnakh,RU,2020-01-05 22:31:11,69.49,88.39,21.2,92,75,26.84
87,Tiznit,MA,2020-01-05 22:34:42,29.7,-9.73,49.98,74,0,2.33
88,San Manuel Chaparron,GT,2020-01-05 22:34:42,14.52,-89.77,82.4,34,18,8.05
89,Lilienthal,DE,2020-01-05 22:34:43,53.14,8.91,43.0,81,75,9.17
90,Derzhavinsk,KZ,2020-01-05 22:34:43,51.1,66.31,17.73,95,99,3.4
91,New Norfolk,AU,2020-01-05 22:31:25,-42.78,147.06,69.01,51,40,4.7
92,Srednekolymsk,RU,2020-01-05 22:34:43,67.46,153.71,-10.64,81,5,2.66
93,General Pico,AR,2020-01-05 22:34:44,-35.66,-63.75,63.46,92,96,9.48
94,Hasaki,JP,2020-01-05 22:34:44,35.73,140.83,32.0,48,20,2.24
95,Channel-Port Aux Basques,CA,2020-01-05 22:34:44,47.57,-59.14,29.5,81,100,20.31
96,Los Algarrobos,EC,2020-01-05 22:34:44,-3.25,-79.94,89.6,55,20,6.93
97,Grootfontein,NA,2020-01-05 22:34:44,-19.56,18.1,65.21,89,100,3.85
98,Milan,IT,2020-01-05 22:33:13,45.47,9.19,44.01,93,0,1.12
99,Aklavik,CA,2020-01-05 22:34:45,68.22,-135.01,-16.6,62,90,10.29
100,Nuuk,GL,2020-01-05 22:34:45,64.17,-51.74,14.0,85,90,18.34
101,Matara,BI,2020-01-05 22:34:45,-3.48,29.48,57.09,93,100,2.26
102,Vitim,RU,2020-01-05 22:34:46,59.44,112.57,13.37,91,100,12.06
103,Edd,ER,2020-01-05 22:34:46,13.93,41.69,75.79,82,3,2.42
104,Rio Grande,BR,2020-01-05 22:34:46,-32.03,-52.1,80.6,61,0,13.87
105,Tateyama,JP,2020-01-05 22:34:46,36.66,137.31,34.0,65,20,2.24
106,Bethel,US,2020-01-05 22:33:49,60.79,-161.76,-14.8,75,1,6.93
107,Fier,AL,2020-01-05 22:34:47,40.73,19.56,38.59,57,0,19.3
108,Rimouski,CA,2020-01-05 22:30:04,48.45,-68.52,18.0,67,90,21.92
109,Cidreira,BR,2020-01-05 22:34:47,-30.17,-50.22,74.59,84,0,23.06
110,Toamasina,MG,2020-01-05 22:34:48,-18.17,49.38,77.0,94,40,4.7
111,Puerto Ayora,EC,2020-01-05 22:34:48,-0.74,-90.35,84.2,62,20,18.34
112,Yulara,AU,2020-01-05 22:34:48,-25.24,130.99,64.4,82,90,12.75
113,Nemuro,JP,2020-01-05 22:34:49,43.32,145.57,27.36,72,41,30.56
114,Xuddur,SO,2020-01-05 22:34:50,4.12,43.89,75.42,77,0,14.09
115,Cap Malheureux,MU,2020-01-05 22:34:50,-19.98,57.61,73.4,100,75,10.29
116,Kalmunai,LK,2020-01-05 22:32:51,7.42,81.82,81.64,77,6,16.6
117,Hobyo,SO,2020-01-05 22:34:50,5.35,48.53,78.21,80,39,10.98
118,Smithers,CA,2020-01-05 22:34:09,54.78,-127.17,32.0,89,20,3.36
119,Hilo,US,2020-01-05 22:31:30,19.71,-155.08,80.6,57,20,8.05
120,Upernavik,GL,2020-01-05 22:33:06,72.79,-56.15,-29.4,91,100,13.71
121,Doha,QA,2020-01-05 22:34:51,25.29,51.53,62.6,72,92,9.17
122,Mayumba,GA,2020-01-05 22:33:32,-3.44,10.65,81.27,80,99,1.81
123,Dikson,RU,2020-01-05 22:33:08,73.51,80.55,18.41,93,98,17.52
124,Stjordalshalsen,NO,2020-01-05 22:34:52,63.47,10.93,44.01,86,75,16.11
125,Vaini,IN,2020-01-05 22:34:53,15.34,74.49,65.75,94,46,8.95
126,Itaituba,BR,2020-01-05 22:34:53,-4.26,-55.99,84.2,79,20,9.17
127,Formiga,BR,2020-01-05 22:34:53,-20.46,-45.43,68.74,95,9,5.41
128,Hualmay,PE,2020-01-05 22:34:53,-11.1,-77.61,70.16,74,34,7.0
129,Ugoofaaru,MV,2020-01-05 22:34:53,5.67,73.0,81.77,80,28,12.95
130,Buala,SB,2020-01-05 22:34:54,-8.15,159.59,85.51,70,72,8.19
131,Haines Junction,CA,2020-01-05 22:34:55,60.75,-137.51,-7.37,83,51,4.43
132,Airai,TL,2020-01-05 22:34:55,-8.93,125.41,75.27,73,100,4.38
133,Daru,PG,2020-01-05 22:34:55,-9.07,143.21,85.41,65,100,5.48
134,Stokmarknes,NO,2020-01-05 22:31:04,68.56,14.91,39.99,86,75,2.24
135,Ribeira Grande,PT,2020-01-05 22:34:56,38.52,-28.7,64.4,93,40,13.87
136,Zastron,ZA,2020-01-05 22:34:56,-30.3,27.08,62.78,68,9,4.18
137,Mahebourg,MU,2020-01-05 22:34:57,-20.41,57.7,73.4,100,75,10.29
138,San Cristobal,HN,2020-01-05 22:34:57,14.68,-86.92,64.17,85,88,9.06
139,Abonnema,NG,2020-01-05 22:34:57,4.71,6.79,73.4,78,99,6.38
140,Oksfjord,NO,2020-01-05 22:34:57,70.24,22.35,32.0,67,100,23.04
141,Garissa,KE,2020-01-05 22:34:57,-0.46,39.64,78.19,79,34,10.16
142,Teguldet,RU,2020-01-05 22:34:58,57.31,88.17,20.66,93,100,8.21
143,Saint-Pierre,FR,2020-01-05 22:32:31,48.95,4.24,33.8,100,0,4.7
144,Ketchikan,US,2020-01-05 22:34:58,55.34,-131.65,35.6,86,75,8.05
145,Peniche,PT,2020-01-05 22:34:58,39.36,-9.38,52.0,93,0,3.36
146,Bilibino,RU,2020-01-05 22:35:00,68.06,166.44,-11.67,67,0,2.08
147,Sing Buri,TH,2020-01-05 22:35:00,14.89,100.4,77.0,71,0,1.97
148,Ilhabela,BR,2020-01-05 22:35:00,-23.78,-45.36,76.84,83,43,3.06
149,Marsa Matruh,EG,2020-01-05 22:35:01,31.35,27.25,53.6,66,20,14.99
150,Harwich,US,2020-01-05 22:35:01,41.69,-70.08,37.0,55,40,9.17
151,Gravdal,NO,2020-01-05 22:35:01,59.79,5.78,46.4,93,75,12.75
152,Atambua,ID,2020-01-05 22:35:01,-9.11,124.89,80.47,73,100,2.82
153,Dusti,TJ,2020-01-05 22:35:01,37.35,68.68,42.8,81,90,2.24
154,Port Alfred,ZA,2020-01-05 22:32:58,-33.59,26.89,69.01,90,70,1.99
155,Soe,EE,2020-01-05 22:35:02,57.91,26.05,28.0,79,100,6.93
156,Ilulissat,GL,2020-01-05 22:35:02,69.22,-51.1,8.6,60,100,6.93
157,Sumbe,AO,2020-01-05 22:35:03,-11.2,13.84,75.74,88,96,1.74
158,Mount Gambier,AU,2020-01-05 22:35:03,-37.83,140.78,60.8,63,4,13.87
159,Kodiak,US,2020-01-05 22:33:00,39.95,-94.76,48.2,42,1,19.46
160,San Policarpo,PH,2020-01-05 22:35:03,12.18,125.51,80.8,81,41,17.05
161,Verkhoyansk,RU,2020-01-05 22:35:04,67.55,133.39,-27.92,85,21,0.76
162,Kargasok,RU,2020-01-05 22:35:04,59.06,80.87,10.38,94,95,9.89
163,Avera,US,2020-01-05 22:35:04,33.19,-82.53,57.2,40,1,6.93
164,Saint George,GR,2020-01-05 22:35:04,39.45,22.34,41.0,56,75,12.75
165,Ust-Maya,RU,2020-01-05 22:35:05,60.42,134.54,-5.28,98,100,5.23
166,Qena,EG,2020-01-05 22:35:05,26.16,32.72,46.4,74,0,1.74
167,Mandalgovi,MN,2020-01-05 22:35:05,45.76,106.27,3.33,94,0,9.42
168,Talcahuano,CL,2020-01-05 22:35:05,-36.72,-73.12,64.4,63,33,16.11
169,Bethanien,NA,2020-01-05 22:35:06,-26.5,17.16,61.7,45,0,5.75
170,Severo-Kurilsk,RU,2020-01-05 22:32:22,50.68,156.12,20.46,93,100,12.84
171,San Carlos De Bariloche,AR,2020-01-05 22:35:06,-41.13,-71.31,53.6,62,75,26.4
172,Viedma,AR,2020-01-05 22:35:06,-40.81,-62.99,60.3,83,81,13.98
173,Burnie,AU,2020-01-05 22:35:06,-41.05,145.91,64.0,60,8,7.0
174,Umm Lajj,SA,2020-01-05 22:35:07,25.02,37.27,53.22,61,0,6.67
175,Leningradskiy,RU,2020-01-05 22:33:36,69.38,178.42,-10.39,54,0,2.75
176,Cochrane,CL,2020-01-05 22:35:07,-47.25,-72.57,39.81,86,85,6.13
177,Thompson,CA,2020-01-05 22:33:27,55.74,-97.86,6.8,84,90,6.93
178,Mogok,MM,2020-01-05 22:35:07,22.92,96.51,57.85,99,62,2.51
179,Hofn,IS,2020-01-05 22:33:38,64.25,-15.21,40.57,94,100,17.31
180,Kahului,US,2020-01-05 22:32:18,20.89,-156.47,82.4,48,20,23.04
181,Hibbing,US,2020-01-05 22:32:28,47.43,-92.94,27.0,68,90,25.28
182,Jamsa,FI,2020-01-05 22:35:08,61.86,25.19,27.0,92,90,10.29
183,Tasiilaq,GL,2020-01-05 22:35:09,65.61,-37.64,22.62,93,100,32.95
184,Maragogi,BR,2020-01-05 22:35:09,-9.01,-35.22,80.35,78,100,13.87
185,Fortuna,US,2020-01-05 22:33:34,40.6,-124.16,55.99,71,40,10.29
186,Narrabri,AU,2020-01-05 22:35:09,-30.33,149.78,86.0,33,0,11.41
187,Husavik,CA,2020-01-05 22:35:10,50.56,-96.99,13.77,84,19,7.74
188,Halifax,CA,2020-01-05 22:35:10,44.65,-63.58,28.0,92,90,27.51
189,Dingle,PH,2020-01-05 22:35:10,11.0,122.67,75.88,92,48,11.9
190,Poum,MK,2020-01-05 22:35:10,41.28,20.71,23.58,67,1,6.85
191,Esperance,AU,2020-01-05 22:35:11,-33.86,121.89,66.2,52,17,20.8
192,Maraa,BR,2020-01-05 22:35:11,-1.83,-65.37,78.4,82,68,1.54
193,Aberdeen,US,2020-01-05 22:31:08,46.98,-123.82,48.99,65,75,27.51
194,Bundaberg,AU,2020-01-05 22:32:09,-24.87,152.35,82.0,65,75,11.41
195,Hachinohe,JP,2020-01-05 22:35:14,40.47,141.48,35.01,68,75,18.34
196,Destin,US,2020-01-05 22:35:14,30.39,-86.5,62.01,44,1,4.7
197,Shanghai,CN,2020-01-05 22:34:45,31.23,121.49,64.0,93,30,6.71
198,Souillac,FR,2020-01-05 22:35:15,45.6,-0.6,39.2,86,0,5.82
199,Ponta Do Sol,BR,2020-01-05 22:35:15,-20.63,-46.0,68.43,91,12,2.06
200,Danshui,CN,2020-01-05 22:35:16,22.81,114.46,72.0,73,56,6.71
201,Oktyabrskoye,RU,2020-01-05 22:35:16,56.73,85.44,28.0,92,75,13.42
202,Lata,IN,2020-01-05 22:35:17,30.78,78.62,13.5,74,100,6.26
203,Owerri,NG,2020-01-05 22:35:17,5.49,7.03,73.4,78,91,1.83
204,Torbay,CA,2020-01-05 22:33:05,47.66,-52.73,30.99,100,90,27.51
205,Tieli,CN,2020-01-05 22:35:17,46.98,128.05,9.54,87,100,5.3
206,Rapid Valley,US,2020-01-05 22:35:18,44.06,-103.15,39.2,29,1,8.72
207,Begowala,PK,2020-01-05 22:35:18,32.44,74.27,50.0,81,40,4.61
208,Gat,SN,2020-01-05 22:35:18,14.69,-16.54,75.2,27,0,10.8
209,Sur,OM,2020-01-05 22:35:18,22.57,59.53,67.66,79,27,12.35
210,Pastos Bons,BR,2020-01-05 22:35:18,-6.6,-44.09,73.27,88,72,0.98
211,Rabo De Peixe,PT,2020-01-05 22:35:19,37.8,-25.58,64.4,93,40,16.11
212,Kaitangata,NZ,2020-01-05 22:33:19,-46.28,169.85,53.01,63,87,27.0
213,Nanortalik,GL,2020-01-05 22:33:34,60.14,-45.24,26.42,85,14,9.28
214,Kuryk,KZ,2020-01-05 22:35:20,43.18,51.68,41.23,62,100,11.01
215,Malokaterynivka,UA,2020-01-05 22:35:20,47.66,35.26,33.8,95,75,6.71
216,Buraydah,SA,2020-01-05 22:35:21,26.33,43.97,46.4,65,0,2.24
217,Ancud,CL,2020-01-05 22:35:21,-41.87,-73.83,57.2,62,20,10.29
218,Kamenka,MD,2020-01-05 22:35:21,48.03,28.7,33.01,84,100,1.01
219,Naze,NG,2020-01-05 22:34:01,5.43,7.07,73.4,78,91,1.83
220,Geraldton,CA,2020-01-05 22:35:23,49.72,-86.95,15.8,78,90,9.17
221,Champerico,MX,2020-01-05 22:35:23,16.38,-93.6,75.2,53,40,21.92
222,Valparaiso,US,2020-01-05 22:34:24,41.47,-87.06,43.0,65,90,19.46
223,Yar-Sale,RU,2020-01-05 22:35:24,66.83,70.83,12.85,86,0,16.82
224,Padang,ID,2020-01-05 22:35:24,-0.92,100.36,68.97,84,17,6.49
225,Lhokseumawe,ID,2020-01-05 22:35:24,5.18,97.15,69.58,89,82,2.86
226,Sabya,SA,2020-01-05 22:35:24,17.15,42.62,78.8,69,20,6.93
227,Pilar,AR,2020-01-05 22:35:25,-34.46,-58.91,84.99,54,90,12.75
228,Praia,BR,2020-01-05 22:33:24,-20.25,-43.81,78.8,69,20,6.93
229,Saint-Leu,RE,2020-01-05 22:35:25,-21.15,55.28,75.2,78,20,4.7
230,Tautira,PF,2020-01-05 22:35:25,-17.73,-149.15,86.0,70,40,5.82
231,Borovskiy,RU,2020-01-05 22:35:26,57.04,65.72,26.6,79,90,8.95
232,Baykit,RU,2020-01-05 22:35:26,61.68,96.39,11.43,96,100,4.63
233,Sao Joao Da Barra,BR,2020-01-05 22:33:37,-21.64,-41.05,82.4,78,75,4.7
234,Yeppoon,AU,2020-01-05 22:35:26,-23.13,150.74,82.4,58,75,9.17
235,Sile,US,2020-01-05 22:35:27,35.56,-106.37,51.8,29,1,12.75
236,Tongling,CN,2020-01-05 22:33:28,30.93,117.81,51.22,95,100,2.39
237,Kijang,KR,2020-01-05 22:35:27,35.24,129.21,37.4,74,100,5.82
238,Atuona,PF,2020-01-05 22:35:27,-9.8,-139.03,81.37,69,32,6.89
239,Ouesso,CG,2020-01-05 22:35:28,1.61,16.05,70.74,41,18,2.08
240,Tomatlan,MX,2020-01-05 22:35:28,19.93,-105.25,71.96,50,0,2.77
241,Kavaratti,IN,2020-01-05 22:35:28,10.57,72.64,79.86,65,0,5.75
242,Konstantinovskiy,RU,2020-01-05 22:35:28,57.83,39.59,30.2,86,90,8.95
243,Nioro,GM,2020-01-05 22:35:29,13.79,-15.05,67.87,12,0,10.13
244,Prince Rupert,CA,2020-01-05 22:35:29,54.32,-130.32,39.2,64,90,10.29
245,Kindu,CD,2020-01-05 22:35:29,-2.95,25.92,68.76,98,100,0.45
246,Camacha,PT,2020-01-05 22:35:29,33.08,-16.33,62.6,77,20,6.93
247,Blagoyevo,RU,2020-01-05 22:35:29,63.37,47.92,7.61,95,13,6.62
248,Barra Patuca,HN,2020-01-05 22:35:30,15.8,-84.28,80.91,74,3,11.27
249,Makakilo City,US,2020-01-05 22:32:31,21.35,-158.09,80.6,78,90,5.82
250,Kloulklubed,PW,2020-01-05 22:35:30,7.04,134.26,78.8,94,90,8.05
251,Puerto Escondido,MX,2020-01-05 22:35:30,15.86,-97.07,84.2,62,5,6.93
252,Longyearbyen,NO,2020-01-05 22:35:30,78.22,15.63,-2.2,77,20,9.17
253,Bambous Virieux,MU,2020-01-05 22:35:31,-20.34,57.76,73.4,100,75,10.29
254,Mendi,ET,2020-01-05 22:35:31,9.8,35.1,59.4,57,17,1.3
255,Constitucion,MX,2020-01-05 22:35:31,23.99,-104.67,68.0,10,5,2.8
256,Palaikastron,GR,2020-01-05 22:35:32,35.2,26.25,54.0,75,91,8.99
257,Ziebice,PL,2020-01-05 22:35:32,50.6,17.04,32.0,92,0,2.24
258,Yinchuan,CN,2020-01-05 22:35:32,38.48,106.21,24.01,47,100,1.5
259,Morristown,US,2020-01-05 22:31:15,36.21,-83.29,46.4,52,1,8.05
260,Rumuruti,KE,2020-01-05 22:35:33,0.26,36.54,58.68,94,71,8.08
261,Nicoya,CR,2020-01-05 22:34:15,10.15,-85.45,86.0,58,40,17.22
262,Mehamn,NO,2020-01-05 22:35:33,71.03,27.85,28.4,79,75,13.87
263,Beloha,MG,2020-01-05 22:35:33,-25.17,45.06,72.25,84,0,10.25
264,Sitka,US,2020-01-05 22:31:43,37.17,-99.65,51.01,35,1,1.99
265,Vestmannaeyjar,IS,2020-01-05 22:35:34,63.44,-20.27,37.18,91,100,19.93
266,Vao,EE,2020-01-05 22:35:34,59.1,26.19,29.86,95,100,13.44
267,Alice Town,BS,2020-01-05 22:33:07,25.72,-79.3,68.41,70,17,20.78
268,Farah,AF,2020-01-05 22:35:35,32.37,62.11,51.6,83,100,3.94
